,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
4417,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA28 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VIII,Issued,177,Rwanda
4418,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA27 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VII,Issued,1968,Rwanda
4419,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA27 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VII,Issued,177,Rwanda
4420,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA26 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VI,Issued,1980,Rwanda
4421,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA26 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VI,Issued,177,Rwanda
4422,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA25 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project V,Issued,1996,Rwanda
4423,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA25 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project V,Issued,177,Rwanda
4424,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA24 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IV,Issued,2007,Rwanda
4425,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA24 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IV,Issued,176,Rwanda
4426,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA23 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project III,Issued,2019,Rwanda
4427,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA23 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project III,Issued,176,Rwanda
4428,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA22 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project II,Issued,2019,Rwanda
4429,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA22 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project II,Issued,178,Rwanda
4430,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA21 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project I,Issued,2026,Rwanda
4431,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA21 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project I,Issued,193,Rwanda
4432,EKI Energy Services Limited,Wind,Renewable Wind Power generation for promoting energy security,Issued,28140,India
4433,EKI Energy Services Limited,Wind,Renewable Wind Power generation for promoting energy security,Issued,36781,India
4434,EKI Energy Services Limited,Wind,Renewable Wind Power generation for promoting energy security,Issued,6667,India
4435,atmosfair gGmbH,Energy Efficiency - Domestic,CPA # 4 Improved Cooking Stoves for Nigeria GS 2437,Issued,2055,Nigeria
4436,atmosfair gGmbH,Energy Efficiency - Domestic,CPA # 3 Improved Cooking Stoves for Nigeria GS 1353,Issued,2740,Nigeria
4437,atmosfair gGmbH,Energy Efficiency - Domestic,CPA # 2 Improved Cooking Stoves for Nigeria GS 1352,Issued,2596,Nigeria
4438,atmosfair gGmbH,Energy Efficiency - Domestic,CPA # 1 Improved Cooking Stoves for Nigeria GS 1162,Issued,2451,Nigeria
4439,CO2logic,Energy Efficiency - Domestic,Water for Climate Rwanda Project,Issued,8720,Rwanda
4440,CO2logic,Energy Efficiency - Domestic,Water for Climate Rwanda Project,Issued,1744,Rwanda
4441,CO2balance UK ltd,Energy Efficiency - Domestic,GivePower Kenya Solar Water Farms,Issued,12450,Kenya
4442,CO2balance UK ltd,Energy Efficiency - Domestic,GivePower Kenya Solar Water Farms,Issued,3085,Kenya
4443,AERA Group,Solar Thermal - Electricity,Grid-connected Solar PV project in Méouane,Issued,32838,Senegal
4444,AERA Group,Solar Thermal - Electricity,Grid-connected Solar PV project in Méouane,Issued,8061,Senegal
4445,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,8300,Malawi
4446,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,47835,Malawi
4447,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,80787,Malawi
4448,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,80787,Malawi
4449,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,52453,Malawi
4450,Hestian Innovation,Energy Efficiency - Domestic,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,Issued,3702,Malawi
4451,Hestian Innovation,Energy Efficiency - Domestic,GS2397 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (2),Issued,8991,Rwanda
4452,Hestian Innovation,Energy Efficiency - Domestic,GS2397 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (2),Issued,51793,Rwanda
4453,Hestian Innovation,Energy Efficiency - Domestic,GS2397 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (2),Issued,52483,Rwanda
4454,Hestian Innovation,Energy Efficiency - Domestic,GS2397 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (2),Issued,14150,Rwanda
4455,Proyecto Mirador,Energy Efficiency - Domestic,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America - First VPA for Distribution of Dos por Tres Cookstoves in Honduras,Issued,254964,Honduras
4456,Proyecto Mirador,Energy Efficiency - Domestic,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America - First VPA for Distribution of Dos por Tres Cookstoves in Honduras,Issued,22466,Honduras
4457,İltek Enerji Yatırım Sanayi ve Ticaret A.Ş.,Wind,Hasanbeyli 50 MW WPP Turkey,Issued,6940,Turkey
4458,İltek Enerji Yatırım Sanayi ve Ticaret A.Ş.,Wind,Hasanbeyli 50 MW WPP Turkey,Issued,98660,Turkey
4459,İltek Enerji Yatırım Sanayi ve Ticaret A.Ş.,Wind,Hasanbeyli 50 MW WPP Turkey,Issued,28066,Turkey
4460,Juniper Green Energy Pvt. Ltd.,Solar Thermal - Electricity,120 MW Solar PV Plant by Juniper Green Sigma Private Ltd. in Gujarat,Issued,121226,India
4461,Value Network Venture Advisory Services Pte. Ltd.,Energy Efficiency - Domestic,Clean Cooking Solutions for Rural Nepal,Issued,24114,Nepal
4462,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Taishan Geothermal Central Heating System,Issued,84311,China
4463,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Taishan Geothermal Central Heating System,Issued,56845,China
4464,Erik Wurster,Energy Efficiency - Domestic,CPA 009 – Charcoal Stoves in Kenya,Issued,44431,Kenya
4465,Erik Wurster,Energy Efficiency - Domestic,CPA 008 – Charcoal Stoves in Kenya,Issued,46104,Kenya
4466,Erik Wurster,Energy Efficiency - Domestic,CPA 003 – BioLite HomeStove in Kenya,Issued,24376,Kenya
4467,Gigawatt Global Cooperatief U.A.,Solar Thermal - Electricity,ASYV 8.5MW Solar PV Project (CPA-001),Issued,8572,Rwanda
4468,Gigawatt Global Cooperatief U.A.,Solar Thermal - Electricity,ASYV 8.5MW Solar PV Project (CPA-001),Issued,8607,Rwanda
4469,Gigawatt Global Cooperatief U.A.,Solar Thermal - Electricity,ASYV 8.5MW Solar PV Project (CPA-001),Issued,2856,Rwanda
4470,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Changdao Geothermal Central Heating System,Issued,219977,China
4471,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Changdao Geothermal Central Heating System,Issued,149308,China
4472,Martin Schaffer,Wind,Amayo Phase II Wind Power Project,Issued,7552,Nicaragua
4473,Martin Schaffer,Wind,Amayo Phase II Wind Power Project,Issued,61297,Nicaragua
4474,Martin Schaffer,Wind,Amayo Phase II Wind Power Project,Issued,13229,Nicaragua
4475,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Zaoyuan Solar Cooker Project,Issued,14502,China
4476,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Zaoyuan Solar Cooker Project,Issued,84054,China
4477,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Shifosi Solar Cooker Project,Issued,14379,China
4478,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Shifosi Solar Cooker Project,Issued,83040,China
4479,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Houji Solar Cooker Project ,Issued,14638,China
4480,Sirreon Technology & Development (Beijing) Co.Ltd,Solar Thermal - Heat,Houji Solar Cooker Project ,Issued,84835,China
4481,Hindustan Zinc Limited,Wind,Wind power project by HZL in Karnataka,Issued,31987,India
4482,Hindustan Zinc Limited,Wind,Wind power project by HZL in Karnataka,Issued,43343,India
4483,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,11059,India
4484,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,95353,India
4485,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,37368,India
4486,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,37368,India
4487,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,13232,India
4488,Wind World (India) Limited,Wind,Vaayu India Wind Power Project in Andhra Pradesh,Issued,95353,India
4489,Die Ofenmacher e.V.,Energy Efficiency - Domestic,Smokeless Cook Stoves for Rural Districts of Nepal,Issued,3887,Nepal
4490,Die Ofenmacher e.V.,Energy Efficiency - Domestic,Smokeless Cook Stoves for Rural Districts of Nepal,Issued,9945,Nepal
4491,Die Ofenmacher e.V.,Energy Efficiency - Domestic,Smokeless Cook Stoves for Rural Districts of Nepal,Issued,3299,Nepal
4492,Mozambique Carbon Initiative LDA,Energy Efficiency - Domestic,Efficient And Clean Cooking For Mozambican Low Income Housholds - George Dimitrov VPA1,Issued,20521,Mozambique
4493,Mozambique Carbon Initiative LDA,Energy Efficiency - Domestic,Efficient And Clean Cooking For Mozambican Low Income Housholds - George Dimitrov VPA1,Issued,26076,Mozambique
4494,myclimate Foundation,Biogas - Heat,Biogas project Uttarakhand India,Issued,16609,India
4495,Entrepreneurs du Monde,Energy Efficiency - Domestic,Expanding access to LPG in Burkina Faso through microfranchised distribution,Issued,4997,Burkina Faso
4496,Entrepreneurs du Monde,Energy Efficiency - Domestic,Expanding access to LPG in Burkina Faso through microfranchised distribution,Issued,5003,Burkina Faso
4497,Entrepreneurs du Monde,Energy Efficiency - Domestic,Expanding access to LPG in Burkina Faso through microfranchised distribution,Issued,3677,Burkina Faso
4498,Entrepreneurs du Monde,Energy Efficiency - Domestic,Expanding access to LPG in Burkina Faso through microfranchised distribution,Issued,5148,Burkina Faso
4499,Fortum India Private Limited,Solar Thermal - Electricity,5MW Solar PV Power Plant by AEPL,Issued,4617,India
4500,Fortum India Private Limited,Solar Thermal - Electricity,5MW Solar PV Power Plant by AEPL,Issued,5626,India
4501,Relief International,Energy Efficiency - Domestic,Gyapa Cook Stoves Project in Ghana,Issued,75000,Ghana
4502,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-002,Issued,8528,China
4503,Chengdu Oasis Science & Technology Co Ltd,Biogas - Heat,GS1239 Sichuan Rural Poor-Household Biogas Development Programme PoA- CPA Nb. SCHHBG-2012-049,Issued,8844,China
4504,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Fajina Geothermal Based Space Heating System,Issued,246054,China
4505,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,Geothermal,Fajina Geothermal Based Space Heating System,Issued,166689,China
4506,Fiba Yenilenebilir Enerji Holding A.Ş,Wind,ULUBORLU WPP,Issued,93888,Turkey
4507,Fiba Yenilenebilir Enerji Holding A.Ş,Wind,ULUBORLU WPP,Issued,95481,Turkey
4508,AZURE POWER INDIA PRIVATE LIMITED,Solar Thermal - Electricity,Clean Electricity Generation by Solar Power Project in Rajasthan,Issued,361747,India
4509,AZURE POWER INDIA PRIVATE LIMITED,Solar Thermal - Electricity,Clean Electricity Generation by Solar Power Project in Rajasthan,Issued,11329,India
4510,SE Santral Elektrik Uretim Sanayi ve Ticaret Anonim Sirketi,Wind,Yahyali Wind Power Plant,Issued,68082,Turkey
4511,SE Santral Elektrik Uretim Sanayi ve Ticaret Anonim Sirketi,Wind,Yahyali Wind Power Plant,Issued,21008,Turkey
4512,KKK HYDRO POWER LIMITED,"Small, Low - Impact Hydro",Baragran Hydro Electric Project 3.0 MW (being expanded to 4.9 MW),Issued,26693,India
4513,Carbon Neutral,A/R,Australian Yarra Yarra Biodiversity Project,Issued,4451,Australia
4514,Carbon Neutral,A/R,Australian Yarra Yarra Biodiversity Project,Issued,4446,Australia
4515,Fortum India Private Limited,Solar Thermal - Electricity,Solar Power Project by Fortum FinnSurya Energy Pvt Ltd,Issued,105267,India
4516,Fortum India Private Limited,Solar Thermal - Electricity,Solar Power Project by Fortum FinnSurya Energy Pvt Ltd,Issued,71721,India
4517,EKI Energy Services Limited,Wind,Bundled Wind Power Project by Woodside Fashions Limited & Group (EKIESL-CDM.June-16-01),Issued,23001,India
4518,EKI Energy Services Limited,Wind,Bundled Wind Power Project by Woodside Fashions Limited & Group (EKIESL-CDM.June-16-01),Issued,12539,India
4519,EKI Energy Services Limited,Wind,Bundled Wind Power Project by Woodside Fashions Limited & Group (EKIESL-CDM.June-16-01),Issued,4594,India
4520,Swiss Carbon Assets Ltd.,Wind,Bac Lieu Province Wind Power Plant,Issued,64826,Viet Nam
4521,Orange Renewable Power Pvt Ltd,Wind,22.5 MW Wind Power Project in Rajasthan India,Issued,44781,India
4522,EKI Energy Services Limited,Wind,Renewable Energy Power project by DDWL,Issued,47967,India
4523,EKI Energy Services Limited,Wind,Renewable Energy Power project by DDWL,Issued,15944,India
4524,Climate Neutral Group,Energy Efficiency - Domestic,Zaidi Bomba Maji Arusha,Issued,1390,Tanzania United Republic of
4525,Climate Neutral Group,Energy Efficiency - Domestic,Zaidi Bomba Maji Arusha,Issued,44,Tanzania United Republic of
4526,First Climate Markets AG,Biogas - Heat,Enlightening lives by propagating Household biogas projects in India,Issued,37898,India
4527,First Climate Markets AG,Biogas - Heat,Enlightening lives by propagating Household biogas projects in India,Issued,34947,India
4528,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 49 Improved Kitchen Regimes:Kaliro Safe Water Project,Issued,1434,Uganda
4529,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 49 Improved Kitchen Regimes:Kaliro Safe Water Project,Issued,491,Uganda
4530,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 35 Improved Kitchen Regimes: Kaliro Safe Water Project,Issued,1668,Uganda
4531,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 35 Improved Kitchen Regimes: Kaliro Safe Water Project,Issued,528,Uganda
4532,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 34 Improved Kitchen Regimes: Kaliro Safe Water Project,Issued,1377,Uganda
4533,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 34 Improved Kitchen Regimes: Kaliro Safe Water Project,Issued,518,Uganda
4534,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 33 Improved Kitchen Regimes : Kaliro Safe Water Project,Issued,1589,Uganda
4535,CO2balance UK ltd,Energy Efficiency - Domestic,GS1247 VPA 33 Improved Kitchen Regimes : Kaliro Safe Water Project,Issued,530,Uganda
4536,atmosfair gGmbH,Other,Energy for Mam Rashan,Issued,501,Iraq
4537,atmosfair gGmbH,Other,Energy for Mam Rashan,Issued,36,Iraq
4538,atmosfair gGmbH,Other,Energy for Mam Rashan,Issued,75,Iraq
4539,atmosfair gGmbH,Other,Energy for Mam Rashan,Issued,29,Iraq
4540,South Pole Carbon Asset Management Ltd.,Wind,Prony and Kafeate wind-farms New Caledonia (300344),Issued,37422,New Caledonia
4541,South Pole Carbon Asset Management Ltd.,Wind,Prony and Kafeate wind-farms New Caledonia (300344),Issued,43523,New Caledonia
4542,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,Issued,2869,Rwanda
4543,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,Issued,265,Rwanda
4544,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,Issued,2878,Rwanda
4545,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,Issued,265,Rwanda
4546,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA30 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project X,Issued,2903,Rwanda
4547,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA30 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project X,Issued,265,Rwanda
4548,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA29 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IX,Issued,2915,Rwanda
4549,Likano Project Development GmbH,Energy Efficiency - Domestic,GS5047 VPA29 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IX,Issued,265,Rwanda
